City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,margaret river,-33.95,115.0667,58.32,72.0,72.0,50.0,AU,1718649529.0
1,waitangi,-43.9535,-176.5597,51.82,98.0,98.0,100.0,NZ,1718649530.0
2,edinburgh of the seven seas,-37.0676,-12.3116,55.36,66.0,66.0,100.0,SH,1718649531.0
3,puerto baquerizo moreno,-0.9,-89.6,79.79,61.0,61.0,40.0,EC,1718649532.0
4,santa luzia,-19.7697,-43.8514,79.88,39.0,39.0,20.0,BR,1718649533.0
5,port mathurin,-19.6833,63.4167,74.97,84.0,84.0,100.0,MU,1718649535.0
6,byron bay,-28.65,153.6167,48.7,73.0,73.0,2.0,AU,1718649302.0
7,albany,42.6001,-73.9662,88.66,59.0,59.0,44.0,US,1718649001.0
8,isafjordur,66.0755,-23.124,44.17,87.0,87.0,100.0,IS,1718649538.0
9,college,64.8569,-147.8028,72.09,48.0,48.0,20.0,US,1718649539.0
10,singaparna,-7.3515,108.111,73.51,94.0,94.0,78.0,ID,1718649540.0
11,puerto ayora,-0.7393,-90.3518,78.76,89.0,89.0,47.0,EC,1718649541.0
12,badger,64.8,-147.5333,72.0,46.0,46.0,40.0,US,1718649543.0
13,ribeira grande,38.5167,-28.7,72.0,60.0,60.0,20.0,PT,1718649544.0
14,veselynove,47.3567,31.2349,71.29,72.0,72.0,38.0,UA,1718649545.0
15,yinchuan,38.4681,106.2731,82.26,30.0,30.0,100.0,CN,1718649546.0
16,labytnangi,66.6572,66.4183,44.62,74.0,74.0,16.0,RU,1718649548.0
17,svobodnyy,51.4,128.1333,43.07,80.0,80.0,65.0,RU,1718649549.0
18,hithadhoo,-0.6,73.0833,82.99,75.0,75.0,18.0,MV,1718649550.0
19,port-aux-francais,-49.35,70.2167,37.56,63.0,63.0,42.0,TF,1718649551.0
20,puerto natales,-51.7236,-72.4875,30.65,69.0,69.0,75.0,CL,1718649552.0
21,shahrisabz,39.0578,66.8342,77.88,31.0,31.0,1.0,UZ,1718649553.0
22,pasni,25.2631,63.471,82.38,89.0,89.0,35.0,PK,1718649555.0
23,utrik,11.2278,169.8474,82.11,81.0,81.0,98.0,MH,1718649556.0
24,tiksi,71.6872,128.8694,43.23,81.0,81.0,24.0,RU,1718649557.0
25,west island,-12.1568,96.8225,76.98,94.0,94.0,100.0,CC,1718649558.0
26,blackmans bay,-43.0167,147.3167,42.73,94.0,94.0,98.0,AU,1718649559.0
27,mount isa,-20.7333,139.5,47.97,71.0,71.0,5.0,AU,1718649560.0
28,grytviken,-54.2811,-36.5092,27.72,84.0,84.0,24.0,GS,1718649561.0
29,tanjung pandan,-2.75,107.65,77.97,86.0,86.0,96.0,ID,1718649563.0
30,papatowai,-46.5619,169.4708,45.84,84.0,84.0,100.0,NZ,1718649564.0
31,weno,7.4515,151.8468,80.55,89.0,89.0,100.0,FM,1718649565.0
32,adamstown,-25.066,-130.1015,71.92,77.0,77.0,100.0,PN,1718649566.0
